case,rank,node_id,node_group,operation,type_pair,group,original_loss,ablated_loss,loss_drop_when_zeroed,captum_attr_sum,captum_attr_mean
FP_above_threshold:451:2422158,451,2422158,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_type,10.641149521,8.820920944,1.820228577,5.460685730,1.820228577
FP_above_threshold:452:2421018,452,2421018,FP_above_threshold,EVENT_RECVMSG,file->subject,src_embedding,10.641149521,6.781163216,3.859986305,247.039093018,3.859985828
FP_above_threshold:452:2421018,452,2421018,FP_above_threshold,EVENT_RECVMSG,file->subject,src_type,10.641149521,8.151272774,2.489876747,7.469630241,2.489876747
FP_above_threshold:452:2421018,452,2421018,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_embedding,10.641149521,12.159371376,-1.518221855,-97.166198730,-1.518221855
FP_above_threshold:452:2421018,452,2421018,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_type,10.641149521,8.820920944,1.820228577,5.460685730,1.820228577
FP_above_threshold:453:2420136,453,2420136,FP_above_threshold,EVENT_RECVMSG,file->subject,src_embedding,10.641149521,6.781163216,3.859986305,247.039093018,3.859985828
FP_above_threshold:453:2420136,453,2420136,FP_above_threshold,EVENT_RECVMSG,file->subject,src_type,10.641149521,8.151272774,2.489876747,7.469630241,2.489876747
FP_above_threshold:453:2420136,453,2420136,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_embedding,10.641149521,12.159371376,-1.518221855,-97.166198730,-1.518221855
FP_above_threshold:453:2420136,453,2420136,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_type,10.641149521,8.820920944,1.820228577,5.460685730,1.820228577
FP_above_threshold:454:2419969,454,2419969,FP_above_threshold,EVENT_RECVMSG,file->subject,src_embedding,10.641149521,6.781163216,3.859986305,247.039093018,3.859985828
FP_above_threshold:454:2419969,454,2419969,FP_above_threshold,EVENT_RECVMSG,file->subject,src_type,10.641149521,8.151272774,2.489876747,7.469630241,2.489876747
FP_above_threshold:454:2419969,454,2419969,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_embedding,10.641149521,12.159371376,-1.518221855,-97.166198730,-1.518221855
FP_above_threshold:454:2419969,454,2419969,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_type,10.641149521,8.820920944,1.820228577,5.460685730,1.820228577
FP_above_threshold:455:2418883,455,2418883,FP_above_threshold,EVENT_RECVMSG,file->subject,src_embedding,10.641149521,6.781163216,3.859986305,247.039093018,3.859985828
FP_above_threshold:455:2418883,455,2418883,FP_above_threshold,EVENT_RECVMSG,file->subject,src_type,10.641149521,8.151272774,2.489876747,7.469630241,2.489876747
FP_above_threshold:455:2418883,455,2418883,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_embedding,10.641149521,12.159371376,-1.518221855,-97.166198730,-1.518221855
FP_above_threshold:455:2418883,455,2418883,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_type,10.641149521,8.820920944,1.820228577,5.460685730,1.820228577
FP_above_threshold:456:2418620,456,2418620,FP_above_threshold,EVENT_RECVMSG,file->subject,src_embedding,10.641149521,6.781163216,3.859986305,247.039093018,3.859985828
FP_above_threshold:456:2418620,456,2418620,FP_above_threshold,EVENT_RECVMSG,file->subject,src_type,10.641149521,8.151272774,2.489876747,7.469630241,2.489876747
FP_above_threshold:456:2418620,456,2418620,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_embedding,10.641149521,12.159371376,-1.518221855,-97.166198730,-1.518221855
FP_above_threshold:456:2418620,456,2418620,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_type,10.641149521,8.820920944,1.820228577,5.460685730,1.820228577
FP_above_threshold:457:2416993,457,2416993,FP_above_threshold,EVENT_RECVMSG,file->subject,src_embedding,10.641149521,6.781163216,3.859986305,247.039093018,3.859985828
FP_above_threshold:457:2416993,457,2416993,FP_above_threshold,EVENT_RECVMSG,file->subject,src_type,10.641149521,8.151272774,2.489876747,7.469630241,2.489876747
FP_above_threshold:457:2416993,457,2416993,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_embedding,10.641149521,12.159371376,-1.518221855,-97.166198730,-1.518221855
FP_above_threshold:457:2416993,457,2416993,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_type,10.641149521,8.820920944,1.820228577,5.460685730,1.820228577
FP_above_threshold:458:2413531,458,2413531,FP_above_threshold,EVENT_RECVMSG,file->subject,src_embedding,10.641149521,6.781163216,3.859986305,247.039093018,3.859985828
FP_above_threshold:458:2413531,458,2413531,FP_above_threshold,EVENT_RECVMSG,file->subject,src_type,10.641149521,8.151272774,2.489876747,7.469630241,2.489876747
FP_above_threshold:458:2413531,458,2413531,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_embedding,10.641149521,12.159371376,-1.518221855,-97.166198730,-1.518221855
FP_above_threshold:458:2413531,458,2413531,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_type,10.641149521,8.820920944,1.820228577,5.460685730,1.820228577
FP_above_threshold:459:2412545,459,2412545,FP_above_threshold,EVENT_RECVMSG,file->subject,src_embedding,10.641149521,6.781163216,3.859986305,247.039093018,3.859985828
FP_above_threshold:459:2412545,459,2412545,FP_above_threshold,EVENT_RECVMSG,file->subject,src_type,10.641149521,8.151272774,2.489876747,7.469630241,2.489876747
FP_above_threshold:459:2412545,459,2412545,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_embedding,10.641149521,12.159371376,-1.518221855,-97.166198730,-1.518221855
FP_above_threshold:459:2412545,459,2412545,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_type,10.641149521,8.820920944,1.820228577,5.460685730,1.820228577
FP_above_threshold:460:2412393,460,2412393,FP_above_threshold,EVENT_RECVMSG,file->subject,src_embedding,10.641149521,6.781163216,3.859986305,247.039093018,3.859985828
FP_above_threshold:460:2412393,460,2412393,FP_above_threshold,EVENT_RECVMSG,file->subject,src_type,10.641149521,8.151272774,2.489876747,7.469630241,2.489876747
FP_above_threshold:460:2412393,460,2412393,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_embedding,10.641149521,12.159371376,-1.518221855,-97.166198730,-1.518221855
FP_above_threshold:460:2412393,460,2412393,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_type,10.641149521,8.820920944,1.820228577,5.460685730,1.820228577
FP_above_threshold:461:2411636,461,2411636,FP_above_threshold,EVENT_RECVMSG,file->subject,src_embedding,10.641149521,6.781163216,3.859986305,247.039093018,3.859985828
FP_above_threshold:461:2411636,461,2411636,FP_above_threshold,EVENT_RECVMSG,file->subject,src_type,10.641149521,8.151272774,2.489876747,7.469630241,2.489876747
FP_above_threshold:461:2411636,461,2411636,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_embedding,10.641149521,12.159371376,-1.518221855,-97.166198730,-1.518221855
FP_above_threshold:461:2411636,461,2411636,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_type,10.641149521,8.820920944,1.820228577,5.460685730,1.820228577
FP_above_threshold:462:2411299,462,2411299,FP_above_threshold,EVENT_RECVMSG,file->subject,src_embedding,10.641149521,6.781163216,3.859986305,247.039093018,3.859985828
FP_above_threshold:462:2411299,462,2411299,FP_above_threshold,EVENT_RECVMSG,file->subject,src_type,10.641149521,8.151272774,2.489876747,7.469630241,2.489876747
FP_above_threshold:462:2411299,462,2411299,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_embedding,10.641149521,12.159371376,-1.518221855,-97.166198730,-1.518221855
FP_above_threshold:462:2411299,462,2411299,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_type,10.641149521,8.820920944,1.820228577,5.460685730,1.820228577
FP_above_threshold:463:2410702,463,2410702,FP_above_threshold,EVENT_RECVMSG,file->subject,src_embedding,10.641149521,6.781163216,3.859986305,247.039093018,3.859985828
FP_above_threshold:463:2410702,463,2410702,FP_above_threshold,EVENT_RECVMSG,file->subject,src_type,10.641149521,8.151272774,2.489876747,7.469630241,2.489876747
FP_above_threshold:463:2410702,463,2410702,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_embedding,10.641149521,12.159371376,-1.518221855,-97.166198730,-1.518221855
FP_above_threshold:463:2410702,463,2410702,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_type,10.641149521,8.820920944,1.820228577,5.460685730,1.820228577
FP_above_threshold:464:2410403,464,2410403,FP_above_threshold,EVENT_RECVMSG,file->subject,src_embedding,10.641149521,6.781163216,3.859986305,247.039093018,3.859985828
FP_above_threshold:464:2410403,464,2410403,FP_above_threshold,EVENT_RECVMSG,file->subject,src_type,10.641149521,8.151272774,2.489876747,7.469630241,2.489876747
FP_above_threshold:464:2410403,464,2410403,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_embedding,10.641149521,12.159371376,-1.518221855,-97.166198730,-1.518221855
FP_above_threshold:464:2410403,464,2410403,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_type,10.641149521,8.820920944,1.820228577,5.460685730,1.820228577
FP_above_threshold:465:2410120,465,2410120,FP_above_threshold,EVENT_RECVMSG,file->subject,src_embedding,10.641149521,6.781163216,3.859986305,247.039093018,3.859985828
FP_above_threshold:465:2410120,465,2410120,FP_above_threshold,EVENT_RECVMSG,file->subject,src_type,10.641149521,8.151272774,2.489876747,7.469630241,2.489876747
FP_above_threshold:465:2410120,465,2410120,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_embedding,10.641149521,12.159371376,-1.518221855,-97.166198730,-1.518221855
FP_above_threshold:465:2410120,465,2410120,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_type,10.641149521,8.820920944,1.820228577,5.460685730,1.820228577
FP_above_threshold:466:2410069,466,2410069,FP_above_threshold,EVENT_RECVMSG,file->subject,src_embedding,10.641149521,6.781163216,3.859986305,247.039093018,3.859985828
FP_above_threshold:466:2410069,466,2410069,FP_above_threshold,EVENT_RECVMSG,file->subject,src_type,10.641149521,8.151272774,2.489876747,7.469630241,2.489876747
FP_above_threshold:466:2410069,466,2410069,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_embedding,10.641149521,12.159371376,-1.518221855,-97.166198730,-1.518221855
FP_above_threshold:466:2410069,466,2410069,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_type,10.641149521,8.820920944,1.820228577,5.460685730,1.820228577
FP_above_threshold:467:2409915,467,2409915,FP_above_threshold,EVENT_RECVMSG,file->subject,src_embedding,10.641149521,6.781163216,3.859986305,247.039093018,3.859985828
FP_above_threshold:467:2409915,467,2409915,FP_above_threshold,EVENT_RECVMSG,file->subject,src_type,10.641149521,8.151272774,2.489876747,7.469630241,2.489876747
FP_above_threshold:467:2409915,467,2409915,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_embedding,10.641149521,12.159371376,-1.518221855,-97.166198730,-1.518221855
FP_above_threshold:467:2409915,467,2409915,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_type,10.641149521,8.820920944,1.820228577,5.460685730,1.820228577
FP_above_threshold:468:2409080,468,2409080,FP_above_threshold,EVENT_RECVMSG,file->subject,src_embedding,10.641149521,6.781163216,3.859986305,247.039093018,3.859985828
FP_above_threshold:468:2409080,468,2409080,FP_above_threshold,EVENT_RECVMSG,file->subject,src_type,10.641149521,8.151272774,2.489876747,7.469630241,2.489876747
FP_above_threshold:468:2409080,468,2409080,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_embedding,10.641149521,12.159371376,-1.518221855,-97.166198730,-1.518221855
FP_above_threshold:468:2409080,468,2409080,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_type,10.641149521,8.820920944,1.820228577,5.460685730,1.820228577
FP_above_threshold:469:2408490,469,2408490,FP_above_threshold,EVENT_RECVMSG,file->subject,src_embedding,10.641149521,6.781163216,3.859986305,247.039093018,3.859985828
FP_above_threshold:469:2408490,469,2408490,FP_above_threshold,EVENT_RECVMSG,file->subject,src_type,10.641149521,8.151272774,2.489876747,7.469630241,2.489876747
FP_above_threshold:469:2408490,469,2408490,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_embedding,10.641149521,12.159371376,-1.518221855,-97.166198730,-1.518221855
FP_above_threshold:469:2408490,469,2408490,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_type,10.641149521,8.820920944,1.820228577,5.460685730,1.820228577
FP_above_threshold:470:2408171,470,2408171,FP_above_threshold,EVENT_RECVMSG,file->subject,src_embedding,10.641149521,6.781163216,3.859986305,247.039093018,3.859985828
FP_above_threshold:470:2408171,470,2408171,FP_above_threshold,EVENT_RECVMSG,file->subject,src_type,10.641149521,8.151272774,2.489876747,7.469630241,2.489876747
FP_above_threshold:470:2408171,470,2408171,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_embedding,10.641149521,12.159371376,-1.518221855,-97.166198730,-1.518221855
FP_above_threshold:470:2408171,470,2408171,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_type,10.641149521,8.820920944,1.820228577,5.460685730,1.820228577
FP_above_threshold:471:2407932,471,2407932,FP_above_threshold,EVENT_RECVMSG,file->subject,src_embedding,10.641149521,6.781163216,3.859986305,247.039093018,3.859985828
FP_above_threshold:471:2407932,471,2407932,FP_above_threshold,EVENT_RECVMSG,file->subject,src_type,10.641149521,8.151272774,2.489876747,7.469630241,2.489876747
FP_above_threshold:471:2407932,471,2407932,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_embedding,10.641149521,12.159371376,-1.518221855,-97.166198730,-1.518221855
FP_above_threshold:471:2407932,471,2407932,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_type,10.641149521,8.820920944,1.820228577,5.460685730,1.820228577
FP_above_threshold:472:2407185,472,2407185,FP_above_threshold,EVENT_RECVMSG,file->subject,src_embedding,10.641149521,6.781163216,3.859986305,247.039093018,3.859985828
FP_above_threshold:472:2407185,472,2407185,FP_above_threshold,EVENT_RECVMSG,file->subject,src_type,10.641149521,8.151272774,2.489876747,7.469630241,2.489876747
FP_above_threshold:472:2407185,472,2407185,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_embedding,10.641149521,12.159371376,-1.518221855,-97.166198730,-1.518221855
FP_above_threshold:472:2407185,472,2407185,FP_above_threshold,EVENT_RECVMSG,file->subject,dst_type,10.641149521,8.820920944,1.820228577,5.460685730,1.820228577
