node_group,dst_label,count,fraction
FP_above_threshold,node 352732,2,0.001848429
FP_above_threshold,node 352702,2,0.001848429
FP_above_threshold,node 352585,2,0.001848429
FP_above_threshold,node 352470,2,0.001848429
FP_above_threshold,node 352353,2,0.001848429
FP_above_threshold,node 352325,2,0.001848429
FP_above_threshold,node 352206,2,0.001848429
FP_above_threshold,node 352177,2,0.001848429
FP_above_threshold,node 351989,2,0.001848429
FP_above_threshold,node 351544,2,0.001848429
FP_above_threshold,node 351442,2,0.001848429
FP_above_threshold,node 351422,2,0.001848429
FP_above_threshold,node 351339,2,0.001848429
FP_above_threshold,node 351306,2,0.001848429
FP_above_threshold,node 351245,2,0.001848429
FP_above_threshold,node 351202,2,0.001848429
FP_above_threshold,node 351174,2,0.001848429
FP_above_threshold,node 351165,2,0.001848429
FP_above_threshold,node 351137,2,0.001848429
FP_above_threshold,node 351033,2,0.001848429
FP_above_threshold,node 350942,2,0.001848429
FP_above_threshold,node 350899,2,0.001848429
FP_above_threshold,node 350862,2,0.001848429
FP_above_threshold,node 350792,2,0.001848429
FP_above_threshold,node 350769,2,0.001848429
FP_above_threshold,node 350652,2,0.001848429
FP_above_threshold,node 350554,2,0.001848429
FP_above_threshold,node 350490,2,0.001848429
FP_above_threshold,node 350421,2,0.001848429
FP_above_threshold,node 350358,2,0.001848429
FP_above_threshold,node 350272,2,0.001848429
FP_above_threshold,node 350264,2,0.001848429
FP_above_threshold,node 350233,2,0.001848429
FP_above_threshold,node 350219,2,0.001848429
FP_above_threshold,node 350207,2,0.001848429
FP_above_threshold,node 350067,2,0.001848429
FP_above_threshold,node 350000,2,0.001848429
FP_above_threshold,node 349985,2,0.001848429
FP_above_threshold,node 349092,2,0.001848429
FP_above_threshold,node 348943,2,0.001848429
FP_above_threshold,node 348798,2,0.001848429
FP_above_threshold,node 348687,2,0.001848429
FP_above_threshold,node 348593,2,0.001848429
FP_above_threshold,node 348523,2,0.001848429
FP_above_threshold,node 348302,2,0.001848429
FP_above_threshold,node 341999,2,0.001848429
FP_above_threshold,node 341861,2,0.001848429
FP_above_threshold,node 341704,2,0.001848429
FP_above_threshold,node 341543,2,0.001848429
FP_above_threshold,node 341329,2,0.001848429
FP_above_threshold,node 341193,2,0.001848429
FP_above_threshold,node 341034,2,0.001848429
FP_above_threshold,node 340849,2,0.001848429
FP_above_threshold,node 340730,2,0.001848429
FP_above_threshold,node 340578,2,0.001848429
FP_above_threshold,node 340409,2,0.001848429
FP_above_threshold,node 340312,2,0.001848429
FP_above_threshold,node 340153,2,0.001848429
FP_above_threshold,node 340087,2,0.001848429
